,OBJID,RA_PSEUDOHOST,DEC_PSEUDOHOST,Z,ZERR,ZWARN,DELTACHI2,SPECTYPE
1917,A202104061436258m013511,219.11030406456072,-1.5907698845168037,0.354813793896599,5.19227666052862e-05,0,127.563805177808,GALAXY
1918,A202104151442135p004437,220.58260758174592,0.7541487415649469,,,,,
1919,A202103221408139m033502,212.05786422752976,-3.583960466541166,0.71736661516254,4.66091189702113e-05,0,441.856991916895,GALAXY
1920,A202103221431046m015832,217.77931663852544,-1.975253033865047,,,,,
1921,A202103221429173p014347,217.3085886501338,1.718693670101774,,,,,
1922,T202103221431450p002815,217.93677322827995,0.4706844378900205,,,,,
1923,A202105271207572m002652,181.98267296153008,-0.4413102817604841,,,,,
1924,T202103221411516m011106,212.9624540541839,-1.1815226633289524,0.150058316371913,2.92559871227413e-05,0,2658.4820382148,GALAXY
1925,A202104121425192m034653,216.33422436457212,-3.7736272662605246,,,,,
1926,A202104151454201p012420,223.5839771916469,1.4058852407278002,,,,,
1927,A202105241155002m005238,178.75119572849826,-0.8773271749897535,,,,,
1928,T202105271212080m002219,183.03299124957303,-0.3700280849149459,,,,,
1929,T202104061418248m023553,214.61147340172693,-2.595541935085177,,,,,
1930,A202104271211399p003527,182.9163920627825,0.5909187722858585,0.695649843630152,2.2077450736375e-05,0,6490.4640276432,QSO
1931,A202103221437163p004712,219.3181087577411,0.7869217057183613,,,,,
1932,A202104061449553m011022,222.4557268167248,-1.1892620889136254,,,,,
1933,A202104091432260p004340,218.11773059993345,0.7328795523464211,,,,,
1934,A202104091438465p015320,219.6939667821372,1.889074395888232,,,,,
1935,A202105151429024p013402,217.24836923158745,1.5519180679412017,,,,,
1936,A202105241154142p000516,178.55932415934348,0.0877478194157575,0.369415528523881,5.92626340791751e-05,0,1766.8456415832,QSO
1937,A202105121435099m015005,218.8054031997409,-1.8317586911193364,0.396450197846846,8.55780736934938e-05,0,24.8083452228457,GALAXY
1938,A202103221429346p010835,217.40570746623104,1.1253025666099512,,,,,
1939,T202105271214387m014717,183.6573859493008,-1.788449856968561,1.19929954276568,5.01453954720065e-05,0,80.1533139944077,GALAXY
1940,T202105241202208p020022,180.5830014586952,2.0090747405760228,,,,,
1941,A202104061415154m023427,213.81423545815468,-2.574295373069748,2.09173162618242,0.000235478029024136,0,1376.37615578435,QSO
1942,A202105271207477m020534,181.97056530099968,-2.1007920202841928,,,,,
